"curveID","param","param_value","PARi","assim"
"theta_0.9","theta",0.9,1250,35.2738329760666
"theta_0.9","theta",0.9,1500,35.6355221773952
"theta_0.9","theta",0.9,1800,35.9108482251504
"Asat_10","Asat",10,0,-1
"Asat_10","Asat",10,10,-0.132927643804897
"Asat_10","Asat",10,20,0.666666666666667
"Asat_10","Asat",10,30,1.39755637299264
"Asat_10","Asat",10,40,2.06021756933943
"Asat_10","Asat",10,50,2.65677149326805
"Asat_10","Asat",10,60,3.19073855835722
"Asat_10","Asat",10,70,3.66666666666667
"Asat_10","Asat",10,80,4.0897169174253
"Asat_10","Asat",10,90,4.46528028479776
"Asat_10","Asat",10,100,4.79867118433975
"Asat_10","Asat",10,150,5.99337922521823
"Asat_10","Asat",10,200,6.6986141339219
"Asat_10","Asat",10,250,7.1490537208304
"Asat_10","Asat",10,300,7.45713069650408
"Asat_10","Asat",10,350,7.67953159605075
"Asat_10","Asat",10,400,7.84698997840978
"Asat_10","Asat",10,500,8.08153821466676
"Asat_10","Asat",10,600,8.23747814892349
"Asat_10","Asat",10,800,8.43134317642569
"Asat_10","Asat",10,1000,8.54685459607115
"Asat_10","Asat",10,1250,8.63871778194254
"Asat_10","Asat",10,1500,8.6996550695215
"Asat_10","Asat",10,1800,8.75023393657414
"Asat_12","Asat",12,0,-1
"Asat_12","Asat",12,10,-0.127373132569206
"Asat_12","Asat",12,20,0.689291564825708
"Asat_12","Asat",12,30,1.44885210804367
"Asat_12","Asat",12,40,2.1511421982039
"Asat_12","Asat",12,50,2.79698538130281
"Asat_12","Asat",12,60,3.38812579192166
"Asat_12","Asat",12,70,3.92708858896871
"Asat_12","Asat",12,80,4.41699475574164
"Asat_12","Asat",12,90,4.86135912980872
"Asat_12","Asat",12,100,5.26389747287788
"Asat_12","Asat",12,150,6.77548702178813
"Asat_12","Asat",12,200,7.72117940390029
"Asat_12","Asat",12,250,8.34478162967497
"Asat_12","Asat",12,300,8.77886446499647
"Asat_12","Asat",12,350,9.09541149243598
"Asat_12","Asat",12,400,9.33520605161735
"Asat_12","Asat",12,500,9.67270034335941
"Asat_12","Asat",12,600,9.89784585760011
"Asat_12","Asat",12,800,10.178235320589
"Asat_12","Asat",12,1000,10.3454006867188
"Asat_12","Asat",12,1250,10.4783223301971
"Asat_12","Asat",12,1500,10.566461338331
"Asat_12","Asat",12,1800,10.6395860834258
"Asat_14","Asat",14,0,-1
"Asat_14","Asat",14,10,-0.123420469534304
"Asat_14","Asat",14,20,0.705379168697204
"Asat_14","Asat",14,30,1.48541078154577
"Asat_14","Asat",14,40,2.21629064178822
"Asat_14","Asat",14,50,2.89826351730993
"Asat_14","Asat",14,60,3.53218725798184
"Asat_14","Asat",14,70,4.11948009057527
"Asat_14","Asat",14,80,4.66203792975393
"Asat_14","Asat",14,90,5.16213235845605
"Asat_14","Asat",14,100,5.62230095487753
"Asat_14","Asat",14,150,7.41930100558496
"Asat_14","Asat",14,200,8.60468814390703
"Asat_14","Asat",14,250,9.41232685973699
"Asat_14","Asat",14,300,9.98561597626199
"Asat_14","Asat",14,350,10.4086752091626
"Asat_14","Asat",14,400,10.731551649164
"Asat_14","Asat",14,500,11.1888204461103
"Asat_14","Asat",14,600,11.4952832707268
"Asat_14","Asat",14,800,11.877967828275
"Asat_14","Asat",14,1000,12.1064116976203
"Asat_14","Asat",14,1250,12.288095576526
"Asat_14","Asat",14,1500,12.4085468238709
"Asat_14","Asat",14,1800,12.5084483280635
"Asat_16","Asat",16,0,-1
"Asat_16","Asat",16,10,-0.120464520987892
"Asat_16","Asat",16,20,0.717397309633852
"Asat_16","Asat",16,30,1.51274506127083
"Asat_16","Asat",16,40,2.26513614405823
"Asat_16","Asat",16,50,2.97454705169086
"Asat_16","Asat",16,60,3.64137450313007
"Asat_16","Asat",16,70,4.26641635612807
"Asat_16","Asat",16,80,4.85083438922888
"Asat_16","Asat",16,90,5.39610286921906
"Asat_16","Asat",16,100,5.90394792773206
"Asat_16","Asat",16,150,7.95194575008348
"Asat_16","Asat",16,200,9.36731602905084
"Asat_16","Asat",16,250,10.3628054014061
"Asat_16","Asat",16,300,11.0840643387353
"Asat_16","Asat",16,350,11.62335785527
"Asat_16","Asat",16,400,12.0384859533286
"Asat_16","Asat",16,500,12.6308095240838
"Asat_16","Asat",16,600,13.030085396215
"Asat_16","Asat",16,800,13.5304611434668
"Asat_16","Asat",16,1000,13.8297430960002
"Asat_16","Asat",16,1250,14.0678983358408
"Asat_16","Asat",16,1500,14.2257939077689
"Asat_16","Asat",16,1800,14.3567272036168
"Asat_18","Asat",18,0,-1
"Asat_18","Asat",18,10,-0.118170701199257
"Asat_18","Asat",18,20,0.726713297305844
"Asat_18","Asat",18,30,1.53393734723856
"Asat_18","Asat",18,40,2.30306154330093
"Asat_18","Asat",18,50,3.03393734723856
"Asat_18","Asat",18,60,3.72671329730584
"Asat_18","Asat",18,70,4.38182929880074
"Asat_18","Asat",18,80,5
"Asat_18","Asat",18,90,5.58218868788249
"Asat_18","Asat",18,100,6.1295738510606
"Asat_18","Asat",18,150,8.39584620931683
"Asat_18","Asat",18,200,10.0263340389897
"Asat_18","Asat",18,250,11.2078900754824
"Asat_18","Asat",18,300,12.0817691058504
"Asat_18","Asat",18,350,12.7443187686616
"Asat_18","Asat",18,400,13.2591477021212
"Asat_18","Asat",18,500,14
"Asat_18","Asat",18,600,14.502809077426
"Asat_18","Asat",18,800,15.1357493889542
